race_id,choice_id,choice_type,official_name,display_name,aliases,ballot_order,party_preference,evidence_locator
ld-32-state-senator,jesse-salomon,candidate,Jesse Salomon,Jesse Salomon,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Senator'; Candidate='Jesse Salomon'; Ballot Order='2'
ld-34-state-representative-1,brianna-k-thomas,candidate,Brianna K. Thomas,Brianna K. Thomas,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 34'; Office='State Representative Pos. 1'; Candidate='Brianna K. Thomas'; Ballot Order='1'
ld-34-state-representative-2,joe-fitzgibbon,candidate,Joe Fitzgibbon,Joe Fitzgibbon,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 34'; Office='State Representative Pos. 2'; Candidate='Joe Fitzgibbon'; Ballot Order='1'
ld-34-state-representative-2,mary-anito,candidate,Mary Anito,Mary Anito,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 34'; Office='State Representative Pos. 2'; Candidate='Mary Anito'; Ballot Order='2'
ld-34-state-senator,emily-alvarado,candidate,Emily Alvarado,Emily Alvarado,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 34'; Office='State Senator'; Candidate='Emily Alvarado'; Ballot Order='1'
ld-36-state-representative-1,julia-grant-reed,candidate,Julia Grant Reed,Julia Grant Reed,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 36'; Office='State Representative Pos. 1'; Candidate='Julia Grant Reed'; Ballot Order='1'
ld-36-state-representative-2,liz-berry,candidate,Liz Berry,Liz Berry,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 36'; Office='State Representative Pos. 2'; Candidate='Liz Berry'; Ballot Order='1'
ld-36-state-senator,noel-c-frame,candidate,Noel C. Frame,Noel C. Frame,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 36'; Office='State Senator'; Candidate='Noel C. Frame'; Ballot Order='1'
ld-36-state-senator,jillian-england,candidate,Jillian England,Jillian England,,2,(Prefers Republican Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 36'; Office='State Senator'; Candidate='Jillian England'; Ballot Order='2'
ld-37-state-representative-1,kelabe-tewolde,candidate,Kelabe Tewolde,Kelabe Tewolde,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Representative Pos. 1'; Candidate='Kelabe Tewolde'; Ballot Order='1'
ld-37-state-representative-1,sharon-tomiko-santos,candidate,Sharon Tomiko Santos,Sharon Tomiko Santos,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Representative Pos. 1'; Candidate='Sharon Tomiko Santos'; Ballot Order='2'
ld-37-state-representative-2,jaelynn-scott,candidate,Jaelynn Scott,Jaelynn Scott,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Representative Pos. 2'; Candidate='Jaelynn Scott'; Ballot Order='1'
ld-37-state-representative-2,evon-mccorkle,candidate,Evon McCorkle,Evon McCorkle,,2,(Prefers Independent Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Representative Pos. 2'; Candidate='Evon McCorkle'; Ballot Order='2'
ld-37-state-senator,chipalo-street,candidate,Chipalo Street,Chipalo Street,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Senator'; Candidate='Chipalo Street'; Ballot Order='1'
ld-37-state-senator,tatiana-brown,candidate,Tatiana Brown,Tatiana Brown,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 37'; Office='State Senator'; Candidate='Tatiana Brown'; Ballot Order='2'
ld-43-state-representative-1,nicole-macri,candidate,Nicole Macri,Nicole Macri,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 43'; Office='State Representative Pos. 1'; Candidate='Nicole Macri'; Ballot Order='1'
ld-43-state-representative-1,alby-clendennin,candidate,Alby Clendennin,Alby Clendennin,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 43'; Office='State Representative Pos. 1'; Candidate='Alby Clendennin'; Ballot Order='2'
ld-43-state-representative-2,shaun-scott,candidate,Shaun Scott,Shaun Scott,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 43'; Office='State Representative Pos. 2'; Candidate='Shaun Scott'; Ballot Order='1'
ld-43-state-senator,jamie-pedersen,candidate,Jamie Pedersen,Jamie Pedersen,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 43'; Office='State Senator'; Candidate='Jamie Pedersen'; Ballot Order='1'
ld-43-state-senator,hannah-sabio-howell,candidate,Hannah Sabio-Howell,Hannah Sabio-Howell,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 43'; Office='State Senator'; Candidate='Hannah Sabio-Howell'; Ballot Order='2'
ld-46-state-representative-1,gerry-pollet,candidate,Gerry Pollet,Gerry Pollet,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Representative Pos. 1'; Candidate='Gerry Pollet'; Ballot Order='1'
ld-46-state-representative-1,will-dreher,candidate,Will Dreher,Will Dreher,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Representative Pos. 1'; Candidate='Will Dreher'; Ballot Order='2'
ld-46-state-representative-2,darya-farivar,candidate,Darya Farivar,Darya Farivar,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Representative Pos. 2'; Candidate='Darya Farivar'; Ballot Order='1'
ld-46-state-representative-2,rodney-star-thornley,candidate,Rodney 'Star' Thornley,Rodney 'Star' Thornley,,2,(Prefers Independent Party),"https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Representative Pos. 2'; Candidate=""Rodney 'Star' Thornley""; Ballot Order='2'"
ld-46-state-senator,javier-valdez,candidate,Javier Valdez,Javier Valdez,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Senator'; Candidate='Javier Valdez'; Ballot Order='1'
ld-46-state-senator,sandra-stephens,candidate,Sandra Stephens,Sandra Stephens,,2,(Prefers Republican Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='LEGISLATIVE DISTRICT 46'; Office='State Senator'; Candidate='Sandra Stephens'; Ballot Order='2'
seattle-city-council-5,nilu-jenks,candidate,Nilu Jenks,Nilu Jenks,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='SEATTLE CITY COUNCIL DISTRICT 5'; Office='Council District No. 5'; Candidate='Nilu Jenks'; Ballot Order='1'
seattle-city-council-5,julie-kang,candidate,Julie Kang,Julie Kang,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='SEATTLE CITY COUNCIL DISTRICT 5'; Office='Council District No. 5'; Candidate='Julie Kang'; Ballot Order='2'
seattle-municipal-court-judge-1,cat-mcdowall,candidate,Cat McDowall,Cat McDowall,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 1'; Candidate='Cat McDowall'; Ballot Order='1'
seattle-municipal-court-judge-2,katharine-edwards,candidate,Katharine Edwards,Katharine Edwards,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 2'; Candidate='Katharine Edwards'; Ballot Order='1'
seattle-municipal-court-judge-3,pooja-vaddadi,candidate,Pooja Vaddadi,Pooja Vaddadi,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 3'; Candidate='Pooja Vaddadi'; Ballot Order='1'
seattle-municipal-court-judge-4,anita-crawford-willis,candidate,Anita Crawford-Willis,Anita Crawford-Willis,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 4'; Candidate='Anita Crawford-Willis'; Ballot Order='1'
seattle-municipal-court-judge-5,gabe-rothstein,candidate,Gabe Rothstein,Gabe Rothstein,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 5'; Candidate='Gabe Rothstein'; Ballot Order='1'
seattle-municipal-court-judge-5,garmon-newsom,candidate,Garmon Newsom,Garmon Newsom,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 5'; Candidate='Garmon Newsom'; Ballot Order='2'
seattle-municipal-court-judge-6,shantrice-anderson,candidate,Shantrice Anderson,Shantrice Anderson,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 6'; Candidate='Shantrice Anderson'; Ballot Order='1'
seattle-municipal-court-judge-7,damon-shadid,candidate,Damon Shadid,Damon Shadid,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='City of Seattle'; Office='Municipal Court Judge Position No. 7'; Candidate='Damon Shadid'; Ballot Order='1'
seattle-proposition-1-transit,yes,ballot_option,Yes,Yes,,1,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: City of Seattle Proposition No. 1; response='Yes'
seattle-proposition-1-transit,no,ballot_option,No,No,,2,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: City of Seattle Proposition No. 1; response='No'
supreme-court-justice-1,colleen-melody,candidate,Colleen Melody,Colleen Melody,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #01'; Candidate='Colleen Melody'; Ballot Order='1'
supreme-court-justice-1,scott-edwards,candidate,Scott Edwards,Scott Edwards,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #01'; Candidate='Scott Edwards'; Ballot Order='2'
supreme-court-justice-3,david-stevens,candidate,David Stevens,David Stevens,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #03'; Candidate='David Stevens'; Ballot Order='1'
supreme-court-justice-3,jaime-michelle-hawk,candidate,Jaime Michelle Hawk,Jaime Michelle Hawk,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #03'; Candidate='Jaime Michelle Hawk'; Ballot Order='2'
supreme-court-justice-4,ian-birk,candidate,Ian Birk,Ian Birk,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #04'; Candidate='Ian Birk'; Ballot Order='1'
supreme-court-justice-4,sean-odonnell,candidate,Sean O'Donnell,Sean O'Donnell,,2,(States No Party Preference),"https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #04'; Candidate=""Sean O'Donnell""; Ballot Order='2'"
supreme-court-justice-5,theo-angelis,candidate,Theo Angelis,Theo Angelis,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #05'; Candidate='Theo Angelis'; Ballot Order='1'
supreme-court-justice-5,dave-larson,candidate,Dave Larson,Dave Larson,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #05'; Candidate='Dave Larson'; Ballot Order='2'
supreme-court-justice-7,debra-l-stephens,candidate,Debra L. Stephens,Debra L. Stephens,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #07'; Candidate='Debra L. Stephens'; Ballot Order='1'
supreme-court-justice-7,todd-a-bloom,candidate,Todd A. Bloom,Todd A. Bloom,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Supreme Court'; Office='Justice Position #07'; Candidate='Todd A. Bloom'; Ballot Order='2'
us-house-7,pramila-jayapal,candidate,Pramila Jayapal,Pramila Jayapal,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Congressional District 7'; Office='U.S. Representative'; Candidate='Pramila Jayapal'; Ballot Order='1'
us-house-7,nirav-sheth,candidate,Nirav Sheth,Nirav Sheth,,2,(Prefers Republican Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Congressional District 7'; Office='U.S. Representative'; Candidate='Nirav Sheth'; Ballot Order='2'
us-house-9,adam-smith,candidate,Adam Smith,Adam Smith,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='CONGRESSIONAL DISTRICT 9'; Office='U.S. Representative'; Candidate='Adam Smith'; Ballot Order='1'
us-house-9,doug-basler,candidate,Doug Basler,Doug Basler,,2,(Prefers Republican Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='CONGRESSIONAL DISTRICT 9'; Office='U.S. Representative'; Candidate='Doug Basler'; Ballot Order='2'
